"","code_muni","ICB","populacao","qtd_empresas","area","disponibilidades","op_cred","emprestimos","fin","fin_agricultura_inv","fin_pecuaria_inv","fin_agricultura_com","fin_pecuaria_com","fin_agroindustrial","fin_imobiliarios","outras_op_cred","outros_cred","arr_mercantial","provisao_arr_mercantil","provisao_de_credito","ativos","depositos","poupanca","depositos_inter","relacoes_interfinanceiras","resultado","PLP","PLB","ICO","densidade_demografica","densidade_empresarial"
"106","1302108",NA,8858,1.06718179501709e-321,55827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.158668744514303,0
"107","1302207",NA,10742,3.74501759547665e-321,19443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.552486756159029,0
"108","1302306",NA,25172,1.0133286396204e-320,69457,4095675,0,0,0,0,472090,0,0,0,0,0,19154744,1962888,0,2932178,0,3500000,0,0,2008832,0,1,0,0.795896170778247,0.362411276041292,0
"109","1302405",1,136344,3.31122795842803e-320,204789,5225615,797030,0,8205400,0,4094316,-1679031,0,0,0,0,94023842,22794352,0,7705466,440,17218630,0,0,7694645,0,1,21.6034904583265,0.581686453701184,0.665777947057703,0
"110","1302504",0.820608360687739,611298,2.51706683930281e-319,44022,10964740,3174625,0,29097553,332888,18544064,-3227663,0,0,0,2167,207779166,47267908,0,19163320,6150,27637375,0,0,20038256,0,1,8.70571327322125,0.518566006329286,13.8861932670029,4.94065645841247e-324
"111","1302553",NA,17107,6.36850617489367e-321,3973,692325,0,0,0,0,28144,0,0,0,0,0,10946664,3036475,0,1281485,0,1242000,0,0,760467,0,1,0,0.657360538685888,4.30581424616159,0
"112","1302603",0.313401949272061,229069479,2.54359371789368e-317,1265511,286250860,174979521,16879451,5478147382,41496394,3960508888,-520191468,0,0,0,103994,66771913882,14275243926,0,2222664518,494380,39308379108,3460448284,3460448284,1877372971,0,0.850291909903468,224.645597858277,0.580952918604349,181.009472853258,1.97626258336499e-323
"113","1302702",1,107828,2.61755979166692e-320,96630,4530537,1865525,0,329044,0,3289879,0,0,0,0,0,58563146,3506944,0,9280153,0,14749425,0,0,7699697,0,1,7.90631323622037,0.800193545146606,1.11588533581703,0
"114","1302801",NA,15529,6.25487107635018e-321,16831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.922642742558374,0
"115","1302900",0.700054084552988,183612,1.2109548979569e-320,119973,5208244,1092737,0,10314297,0,212334,-3023408,0,0,0,0,70924806,13526597,0,16481556,1740,175585,0,0,9076884,0,1,0.160683677774249,0.630213607841818,1.53044434997875,0
"116","1303007",1,20136,2.93969059275542e-321,14107,1511686,204096,0,0,0,35634,0,0,0,0,0,12352608,2523022,0,1374098,0,0,0,0,1470142,0,0,0,0.714894719980894,1.42737647976182,0
"117","1303106",1,27062,3.01874109609002e-321,5578,2400819,395035,0,0,0,59238,0,0,0,0,0,17087677,3830215,0,2043922,0,2e+06,0,0,1695029,0,1,5.06284253294012,0.696897493784065,4.85155969881678,0
"118","1303205",1,15761,5.18274862487468e-321,37777,1155871,57844,0,0,0,151948,0,0,0,0,0,18641546,3585208,0,5698523,0,9e+05,0,0,877771,0,1,15.5590899661158,0.719607639843753,0.417211530825635,0
"119","1303304",NA,23818,4.56022591111471e-321,41180,1138565,0,0,0,0,23553,0,0,0,0,0,12423118,3106892,0,701338,0,1400000,0,0,1227470,0,1,0,0.67787582813983,0.57838756677999,0
"120","1303403",0.922644437088499,481860,5.72622083530005e-320,29780,14216796,3887875,0,66994929,589286,7003274,-6281554,0,0,0,2167,294756547,65574461,0,22067264,1210,67295081,0,0,28505676,0,1,17.3089620936887,0.521187768288187,16.1806581598388,0
